date,year,month,day,etc_etId,etc_est,etr_agrimet,etr_etId,etr_est,etr_ce,etc_agrimet
3/30/03,2003,3,30,4.08,1.619986296,5.08,5.12,5.18,5.13,3.81
3/31/03,2003,3,31,3.41,1.675022006,5.84,5.78,5.83,5.84,3.81
4/1/03,2003,4,1,2.16,0.814202428,3.05,3.01,3.03,4.82,2.29
4/2/03,2003,4,2,1.12,0.420601577,1.27,1.14,1.15,3.03,1.78
4/3/03,2003,4,3,2.35,1.204688549,2.29,2.35,2.36,2.63,3.05
4/4/03,2003,4,4,2.76,1.435019493,2.79,2.76,2.78,2.35,2.79
4/5/03,2003,4,5,2.1,1.008910298,2.03,2.1,2.11,2.25,2.03
4/6/03,2003,4,6,1.92,0.88588047,2.03,1.92,1.94,2.61,2.03
4/7/03,2003,4,7,2.95,1.419480443,3.05,2.95,2.98,2.72,2.79
4/8/03,2003,4,8,4.24,2.179083109,5.08,4.99,4.99,4.85,4.06
4/9/03,2003,4,9,3.12,2.011382103,5.33,5.24,5.26,5.05,4.06
4/10/03,2003,4,10,3.32,3.002593756,8.13,8.13,8.16,7.15,5.84
4/11/03,2003,4,11,1.27,1.913214326,5.84,5.91,5.97,6.07,5.08
4/12/03,2003,4,12,1.52,2.751264811,8.89,8.87,8.90,7.47,6.10
4/13/03,2003,4,13,0.61,1.450709581,4.83,4.79,4.83,5.46,5.08
4/14/03,2003,4,14,0.4,0.398983151,1.27,1.29,1.30,3.84,2.03
4/15/03,2003,4,15,1.69,1.7848593,4.57,4.5,4.52,4.48,4.83
4/16/03,2003,4,16,0.95,1.343904376,3.30,3.26,3.28,3.92,3.05
4/17/03,2003,4,17,0.52,0.82472986,2.03,2.05,2.07,4.04,2.03
4/18/03,2003,4,18,1.3,1.909137249,4.83,4.69,4.71,4.21,5.08
4/19/03,2003,4,19,1.25,2.071324587,5.08,5,5.03,4.32,4.83
4/20/03,2003,4,20,1.3,2.479592085,6.10,6.06,6.09,6.03,4.83
4/21/03,2003,4,21,5.88,5.900323868,6.10,5.88,5.90,7.17,3.81
4/22/03,2003,4,22,2.27,2.291707516,2.29,2.27,2.29,4.84,2.29
4/23/03,2003,4,23,4.63,4.657063007,4.57,4.63,4.66,4.22,4.32
4/24/03,2003,4,24,5.48,5.97522068,6.10,5.94,5.98,4.55,5.08
4/25/03,2003,4,25,0.93,1.014688253,1.27,1.16,1.21,2.65,1.52
4/26/03,2003,4,26,3.18,2.823126078,3.30,3.18,3.20,3.06,4.06
4/27/03,2003,4,27,4.13,3.840197563,4.06,4.13,4.17,4.02,4.32
4/28/03,2003,4,28,3.59,3.514366865,4.32,4.18,4.22,5.03,3.81
4/29/03,2003,4,29,1.9,2.090860844,2.79,2.71,2.74,4.04,3.05
4/30/03,2003,4,30,2.11,2.460221291,3.30,3.35,3.37,4.71,3.81
5/1/03,2003,5,1,2.45,3.003630638,4.32,4.3,4.33,4.36,4.06
5/2/03,2003,5,2,2.22,2.744347334,4.32,4.24,4.28,4.63,4.06
5/3/03,2003,5,3,1.29,1.455349922,2.29,2.36,2.37,4.17,2.29
5/4/03,2003,5,4,1.78,1.77609241,2.79,2.77,2.78,4.40,3.05
5/5/03,2003,5,5,2.89,3.138959646,4.57,4.64,4.66,3.04,5.59
5/6/03,2003,5,6,2.35,2.710093021,4.06,4.15,4.18,3.15,4.32
5/7/03,2003,5,7,2.66,3.192827225,5.08,5.06,5.09,3.85,5.08
5/8/03,2003,5,8,2.39,1.559314489,2.54,2.58,2.59,4.47,2.54
5/9/03,2003,5,9,2.84,1.955111861,2.79,2.84,2.86,3.53,3.30
5/10/03,2003,5,10,4.49,3.440448999,4.57,4.49,4.54,4.73,4.57
5/11/03,2003,5,11,3.84,2.87661767,3.81,3.84,3.89,4.89,3.81
5/12/03,2003,5,12,4.42,3.160068989,4.32,4.42,4.46,4.89,4.06
5/13/03,2003,5,13,4.8,3.693590879,5.08,5.15,5.21,5.37,5.59
5/14/03,2003,5,14,4.23,3.699033976,5.33,5.38,5.43,7.54,5.08
5/15/03,2003,5,15,4.97,4.412697315,6.60,6.57,6.65,7.50,6.35
5/16/03,2003,5,16,3.87,4.055851936,5.84,5.87,5.91,6.99,6.60
5/17/03,2003,5,17,3.44,3.862976074,5.59,5.62,5.65,6.43,6.60
5/18/03,2003,5,18,3.59,4.212215424,6.10,6.13,6.14,5.68,7.37
5/19/03,2003,5,19,3.31,4.005315781,5.84,5.81,5.82,5.59,6.35
5/20/03,2003,5,20,3.77,4.622773647,6.60,6.63,6.67,6.33,6.35
5/21/03,2003,5,21,6.42,6.482475758,6.35,6.42,6.48,6.37,5.59
5/22/03,2003,5,22,7.51,7.604346275,7.62,7.51,7.60,6.32,6.86
5/23/03,2003,5,23,7.44,7.912978649,7.87,7.8,7.91,7.44,7.37
5/24/03,2003,5,24,6.44,7.841335297,7.87,7.78,7.85,10.92,7.11
5/25/03,2003,5,25,5.36,6.590978146,6.60,6.66,6.74,8.57,6.60
5/26/03,2003,5,26,5.68,6.826148987,6.86,6.93,7.02,9.34,7.11
5/27/03,2003,5,27,6.38,7.429940224,7.62,7.53,7.64,8.88,7.87
5/28/03,2003,5,28,10.15,11.43974972,11.68,11.6,11.72,12.94,10.16
5/29/03,2003,5,29,8.06,8.87432766,8.89,8.9,9.02,9.10,8.13
5/30/03,2003,5,30,8.03,8.620637894,8.64,8.58,8.68,12.67,8.64
5/31/03,2003,5,31,7.32,7.778373718,7.62,7.67,7.77,8.23,8.13
6/1/03,2003,6,1,7.68,8.306458473,8.13,7.98,8.24,8.82,8.64
6/2/03,2003,6,2,9.08,9.726305008,9.40,9.35,9.59,10.30,9.65
6/3/03,2003,6,3,9.47,10.06241798,9.65,9.68,9.87,9.53,9.65
6/4/03,2003,6,4,7.42,7.900500774,7.62,7.53,7.70,8.03,7.87
6/5/03,2003,6,5,9.52,9.867218018,9.14,9.13,9.32,7.79,8.89
6/6/03,2003,6,6,9.52,9.883659363,9.14,9.05,9.27,9.66,8.89
6/7/03,2003,6,7,10.62,11.07607651,10.41,10.1,10.31,7.87,9.91
6/8/03,2003,6,8,8.86,9.434304237,8.64,8.54,8.74,9.38,8.38
6/9/03,2003,6,9,10.23,10.85107803,9.91,9.83,10.05,11.17,9.40
6/10/03,2003,6,10,10.01,10.70026207,9.65,9.67,9.91,11.60,9.65
6/11/03,2003,6,11,10.13,10.7988348,9.91,9.81,10.00,10.97,9.91
6/12/03,2003,6,12,8.9,9.497714996,8.64,8.63,8.79,7.13,8.89
6/13/03,2003,6,13,7.81,8.45354557,7.62,7.58,7.83,8.75,7.62
6/14/03,2003,6,14,8.52,9.176223755,8.38,8.27,8.50,8.74,8.38
6/15/03,2003,6,15,8.69,9.362061501,8.64,8.44,8.67,10.84,8.64
6/16/03,2003,6,16,9.11,9.801436424,8.89,8.85,9.08,10.92,9.14
6/17/03,2003,6,17,8.91,9.538018227,8.64,8.65,8.83,9.06,8.89
6/18/03,2003,6,18,9.6,10.23338985,9.40,9.2,9.48,12.88,9.14
6/19/03,2003,6,19,8.56,9.18543148,8.64,8.24,8.51,11.88,8.89
6/20/03,2003,6,20,4.32,4.736682892,4.32,4.14,4.39,7.39,5.08
6/21/03,2003,6,21,7.24,7.491681576,6.86,6.71,6.94,6.89,8.13
6/22/03,2003,6,22,7.02,7.246781349,6.60,6.5,6.71,7.82,7.87
6/23/03,2003,6,23,6.71,6.856001377,6.35,6.21,6.35,5.95,7.11
6/24/03,2003,6,24,4.47,4.744409561,4.32,4.2,4.39,6.55,4.83
6/25/03,2003,6,25,7.49,7.808236599,7.11,7.04,7.23,7.73,7.37
6/26/03,2003,6,26,8.41,8.819766998,8.13,8,8.17,8.84,8.13
6/27/03,2003,6,27,10.95,11.51909924,10.41,10.5,10.67,11.59,9.91
6/28/03,2003,6,28,10.77,11.43359375,10.41,10.4,10.59,11.12,10.16
6/29/03,2003,6,29,10.1,10.72755814,9.91,9.78,9.93,11.73,10.16
6/30/03,2003,6,30,11.34,12.16279221,10.92,11,11.26,11.55,10.41
7/1/03,2003,7,1,9.84,10.4283247,9.40,9.55,9.66,10.68,9.91
7/2/03,2003,7,2,9.23,9.790529251,8.89,8.96,9.07,10.27,9.65
7/3/03,2003,7,3,8.74,9.243100166,8.38,8.48,8.57,10.41,9.14
7/4/03,2003,7,4,9.52,10.01783752,9.14,9.24,9.34,10.07,9.40
7/5/03,2003,7,5,9.39,9.864397049,9.14,9.12,9.25,10.91,9.40
7/6/03,2003,7,6,8.97,9.389533997,8.64,8.71,8.84,9.86,8.89
7/7/03,2003,7,7,9.27,9.446307182,8.64,8.65,8.75,8.85,9.14
7/8/03,2003,7,8,11.22,11.42445087,10.41,10.5,10.58,10.42,10.41
7/9/03,2003,7,9,9.72,10.06067562,9.14,9.26,9.32,8.49,9.65
7/10/03,2003,7,10,12.9,13.81443501,12.70,12.6,12.79,15.66,11.68
7/11/03,2003,7,11,10,10.87565327,9.91,10,10.12,13.89,9.91
7/12/03,2003,7,12,9.84,10.54312325,9.91,10,10.11,13.30,10.16
7/13/03,2003,7,13,9.91,10.59059811,10.16,10.2,10.32,13.46,10.16
7/14/03,2003,7,14,8.5,9.192373276,8.89,8.98,9.09,9.67,9.65
7/15/03,2003,7,15,7.86,8.67502594,8.64,8.54,8.69,10.89,9.40
7/16/03,2003,7,16,7.79,8.651964188,8.89,8.72,8.86,11.62,9.14
7/17/03,2003,7,17,7.83,9.022441864,9.40,9.28,9.44,11.07,9.40
7/18/03,2003,7,18,7.22,8.915188789,9.40,9.39,9.54,8.56,9.40
7/19/03,2003,7,19,4.66,6.256783962,6.86,6.77,6.89,8.21,7.37
7/20/03,2003,7,20,5.23,7.329004288,8.64,8.5,8.67,9.56,8.89
7/21/03,2003,7,21,5.77,8.317411423,10.92,10.7,10.81,14.35,10.41
7/22/03,2003,7,22,4.57,6.82171011,9.91,9.84,10.00,12.65,9.91
7/23/03,2003,7,23,3.49,5.440862656,8.89,8.78,8.95,10.61,9.40
7/24/03,2003,7,24,3.42,5.28221035,9.91,9.65,9.81,11.29,9.14
7/25/03,2003,7,25,6.03,4.151250362,6.35,6.03,6.19,7.64,7.11
7/26/03,2003,7,26,5.33,3.34754777,5.33,5.33,5.46,6.21,6.10
7/27/03,2003,7,27,6.7,3.948339701,6.86,6.7,6.81,7.27,7.62
7/28/03,2003,7,28,5.75,4.539679527,8.13,8.15,8.28,10.45,8.38
7/29/03,2003,7,29,3.42,2.865717173,8.38,8.21,8.32,8.96,8.38
7/30/03,2003,7,30,2.23,2.40705657,8.64,8.52,8.62,10.05,8.64
7/31/03,2003,7,31,1.71,2.364861965,9.40,9.45,9.56,12.95,9.40
8/1/03,2003,8,1,1.04,1.707056046,7.87,7.76,7.88,9.95,8.38
8/2/03,2003,8,2,1.36,0.872202277,5.84,5.76,5.81,6.30,5.84
8/3/03,2003,8,3,4.94,1.131136894,5.08,4.94,5.03,4.16,5.59
8/4/03,2003,8,4,6.23,1.988657713,6.35,6.23,6.35,5.60,6.86
8/5/03,2003,8,5,7.07,1.1364218,7.62,7.45,7.58,11.19,7.37
8/6/03,2003,8,6,3.69,1.456072807,8.38,8.28,8.32,10.00,8.13
8/7/03,2003,8,7,1.6,1.233603954,8.13,8.17,8.22,9.65,8.38
8/8/03,2003,8,8,0.81,1.16127193,7.87,7.64,7.74,9.60,7.87
8/9/03,2003,8,9,0.94,1.162329078,7.62,7.69,7.75,10.08,7.87
8/10/03,2003,8,10,0.69,1.227628827,8.13,8.1,8.18,9.94,7.87
8/11/03,2003,8,11,0.55,1.255778551,8.38,8.28,8.37,11.49,8.13
8/12/03,2003,8,12,0.37,0.946913004,6.35,6.25,6.31,10.64,6.60
8/13/03,2003,8,13,0.4,1.128756523,7.37,7.44,7.53,11.39,7.62
8/14/03,2003,8,14,0.34,1.065134287,7.11,7.01,7.10,9.44,7.11
8/15/03,2003,8,15,0.41,1.400961041,9.65,9.22,9.34,9.37,8.38
8/16/03,2003,8,16,0.36,1.405702591,9.40,9.3,9.37,11.68,8.89
8/17/03,2003,8,17,0.32,1.403375149,9.40,9.3,9.36,10.31,9.40
8/18/03,2003,8,18,0.34,1.072083592,6.60,6.63,6.71,6.86,7.11
8/19/03,2003,8,19,0.23,1.059436321,7.11,6.95,7.06,6.89,7.11
8/20/03,2003,8,20,0.24,1.391362548,9.14,9.18,9.28,11.99,8.13
8/21/03,2003,8,21,0.13,0.89200449,6.10,5.87,5.95,6.73,5.84
8/22/03,2003,8,22,0.1,0.739652038,5.08,4.85,4.93,6.09,5.33
8/23/03,2003,8,23,0.11,0.818343878,5.33,5.38,5.46,4.44,6.10
8/24/03,2003,8,24,0.65,1.224304795,6.60,6.43,6.51,6.64,6.35
8/25/03,2003,8,25,0.28,1.111694694,7.37,7.35,7.41,7.53,6.86
8/26/03,2003,8,26,0.17,1.207800031,8.13,7.98,8.05,8.99,7.11
8/27/03,2003,8,27,0.74,0.897761703,6.10,5.9,5.99,6.43,6.35
8/28/03,2003,8,28,0.36,1.336593509,6.10,6.05,6.15,6.86,6.35
8/29/03,2003,8,29,0.23,0.722642779,4.83,4.76,4.82,5.86,5.08
8/30/03,2003,8,30,0.72,0.806062341,5.08,5.01,5.04,4.33,5.33
8/31/03,2003,8,31,0.52,1.390800118,6.60,6.42,6.47,6.18,6.35
9/1/03,2003,9,1,0.16,0.664843619,4.57,4.36,4.43,8.00,4.32
9/2/03,2003,9,2,3.51,0.860260725,5.84,5.62,5.74,5.96,5.59
9/3/03,2003,9,3,4.01,1.86781168,5.84,5.84,5.91,6.48,5.84
9/4/03,2003,9,4,1.75,1.244011283,6.35,6.32,6.43,9.18,5.84
9/5/03,2003,9,5,0.55,0.715042233,4.57,4.43,4.51,5.41,4.32
9/6/03,2003,9,6,0.47,0.772392392,5.08,4.93,5.02,6.41,5.08
9/7/03,2003,9,7,0.96,0.787184894,5.33,5.12,5.20,7.25,5.08
9/8/03,2003,9,8,0.75,1.356494427,6.10,6.18,6.22,7.56,6.86
9/9/03,2003,9,9,0.32,0.672839284,4.06,4.04,4.08,4.77,4.32
9/10/03,2003,9,10,0.35,0.815614879,5.08,5.14,5.18,4.78,5.84
9/11/03,2003,9,11,0.31,0.787817001,5.08,5.1,5.16,5.91,4.83
9/12/03,2003,9,12,0.33,0.914883852,5.84,6.04,6.06,6.56,6.10
9/13/03,2003,9,13,0.2,0.597432494,4.06,4.05,3.98,4.49,4.32
9/14/03,2003,9,14,0.26,0.807302713,5.33,5.46,5.38,5.94,5.08
9/15/03,2003,9,15,0.2,0.683038712,4.57,4.51,4.55,8.62,4.06
9/16/03,2003,9,16,0.25,0.925296187,6.10,6.14,6.17,9.28,5.33
9/17/03,2003,9,17,0.19,0.764528096,5.08,5.08,5.10,5.36,5.84
9/18/03,2003,9,18,0.14,0.614669681,4.06,4.08,4.10,3.99,4.32
9/19/03,2003,9,19,0.17,0.787344217,5.33,5.21,5.25,6.04,4.57
9/20/03,2003,9,20,0.19,0.926755607,6.10,6.23,6.18,5.71,5.33
9/21/03,2003,9,21,0.19,1.010022759,6.86,6.79,6.73,8.58,5.59
9/22/03,2003,9,22,0.15,0.833916128,5.59,5.64,5.56,7.87,5.08
9/23/03,2003,9,23,0.16,0.963535488,6.35,6.5,6.42,9.44,5.33
9/24/03,2003,9,24,0.13,0.881781638,5.84,5.99,5.88,9.01,5.08
9/25/03,2003,9,25,0.18,1.362424135,8.64,9.14,9.08,11.49,6.86
9/26/03,2003,9,26,0.14,1.1991961,7.87,8,7.99,10.17,6.35
9/27/03,2003,9,27,0.1,0.908171952,6.10,6.05,6.05,5.18,5.33
9/28/03,2003,9,28,0.09,0.885657012,5.84,5.91,5.90,5.69,5.33
9/29/03,2003,9,29,0.08,0.944132686,6.35,6.19,6.29,5.86,5.33
9/30/03,2003,9,30,0.09,1.14978075,7.87,7.61,7.67,6.69,6.60
10/1/03,2003,10,1,0.07,0.990666807,6.86,6.52,6.60,8.90,5.08
10/2/03,2003,10,2,0.04,0.631277442,4.32,4.1,4.21,4.43,3.81
10/3/03,2003,10,3,0.04,0.670915484,4.57,4.34,4.47,4.39,4.32
10/4/03,2003,10,4,0.05,0.761765778,5.08,4.98,5.08,5.05,4.57
10/5/03,2003,10,5,0.04,0.648048162,4.32,4.19,4.32,5.12,3.81
10/6/03,2003,10,6,0.04,0.721376777,4.83,4.66,4.81,4.62,4.06
10/7/03,2003,10,7,0.03,0.629721642,4.06,4.1,4.20,6.33,3.30
10/8/03,2003,10,8,0.03,0.706734061,4.83,4.65,4.71,4.96,4.06
10/9/03,2003,10,9,0.04,0.798859954,5.33,5.25,5.33,6.27,5.08
10/10/03,2003,10,10,0.03,0.644083023,4.32,4.27,4.29,5.17,5.08
10/11/03,2003,10,11,0.02,0.628092706,4.32,4.11,4.19,4.29,3.81
10/12/03,2003,10,12,0.02,0.645096481,4.32,4.21,4.30,6.42,3.81
10/13/03,2003,10,13,0.02,0.627701104,4.32,4.2,4.18,4.15,3.81
10/14/03,2003,10,14,0.02,0.719973862,4.83,4.77,4.80,6.29,4.06
10/15/03,2003,10,15,0.01,0.486076981,3.30,3.16,3.24,3.95,2.54
10/16/03,2003,10,16,0.01,0.518675745,3.56,3.33,3.46,4.02,2.54
10/17/03,2003,10,17,0.02,0.620164633,4.06,4.11,4.13,4.34,3.05
10/18/03,2003,10,18,0.02,0.842726529,5.59,5.47,5.62,6.99,3.81
10/19/03,2003,10,19,0.02,0.716439366,4.83,4.63,4.78,7.49,3.30
10/20/03,2003,10,20,0.02,0.772452533,5.33,5.06,5.15,5.10,4.06
10/21/03,2003,10,21,0.02,0.911090195,6.35,6.05,6.07,5.92,4.57
10/22/03,2003,10,22,0.02,1.021874428,7.11,6.8,6.81,6.78,5.33
10/23/03,2003,10,23,0.01,0.814550102,5.33,5.31,5.43,7.45,4.57
10/24/03,2003,10,24,0.01,0.836882591,5.59,5.49,5.58,5.52,4.83
10/25/03,2003,10,25,0.01,0.499133855,3.30,3.28,3.33,3.51,3.05
10/26/03,2003,10,26,0.01,0.584973514,3.81,3.82,3.90,5.01,2.79
10/27/03,2003,10,27,0.01,0.843611717,5.59,5.46,5.62,6.60,3.30
10/28/03,2003,10,28,0.01,0.919758677,6.10,5.94,6.13,5.39,4.32
10/29/03,2003,10,29,0.01,0.809435368,5.33,5.29,5.40,3.75,4.83
10/30/03,2003,10,30,0.01,0.540462554,3.56,3.53,3.60,1.18,4.06
10/31/03,2003,10,31,0,0.460099667,3.05,3.02,3.07,1.62,3.30
11/1/03,2003,11,1,0,0.265751392,1.78,1.79,1.77,1.64,1.78
11/2/03,2003,11,2,0,0.374112844,2.54,2.42,2.49,1.65,1.78
11/3/03,2003,11,3,0,0.302883774,2.03,1.93,2.02,1.43,1.27
11/4/03,2003,11,4,0,0.274833888,1.78,1.79,1.83,2.24,1.52
11/5/03,2003,11,5,0,0.211927786,1.27,1.32,1.41,0.99,1.27
11/6/03,2003,11,6,0,0.350944787,2.29,2.31,2.34,2.80,1.78
11/7/03,2003,11,7,0,0.4876858,3.30,3.18,3.25,3.70,2.54
11/8/03,2003,11,8,0,0.572862089,3.81,3.7,3.82,4.28,2.29
11/9/03,2003,11,9,0,0.495386243,3.30,3.23,3.30,3.49,1.78
11/10/03,2003,11,10,0,0.329145133,2.29,2.1,2.19,3.49,1.27
11/11/03,2003,11,11,0.01,0.717088938,4.83,4.69,4.78,4.32,3.56
11/12/03,2003,11,12,0,0.334790289,2.29,2.15,2.23,3.25,1.78
11/13/03,2003,11,13,0.24,0.116723619,0.76,0.62,0.78,1.56,0.76
11/14/03,2003,11,14,0.74,0.399843812,1.27,1.28,1.37,2.29,1.27
11/15/03,2003,11,15,0.67,0.496181011,1.27,1.26,1.36,1.67,1.02
11/16/03,2003,11,16,0.69,0.4346641,1.27,1.13,1.21,3.03,0.51
11/17/03,2003,11,17,1.12,0.889747381,2.03,1.85,1.96,3.42,1.78
11/18/03,2003,11,18,0.85,0.831571639,1.52,1.39,1.61,2.41,1.02
11/19/03,2003,11,19,2.22,1.886694431,3.81,3.78,3.87,3.76,2.03
11/20/03,2003,11,20,1.21,1.520535231,3.81,3.48,3.60,3.66,3.05
